count,completed_count,error_count,error_rate,client_ttft_p50_s,client_ttft_p95_s,client_ttft_p99_s,client_ttft_n,client_e2e_p50_s,client_e2e_p95_s,client_e2e_p99_s,slo_met,suite_id,repeat_id,scenario,workload_class,phase,background_offered_rps
960,960,0,0.0,0.03992963749988121,0.048788973699265624,0.06254161942077172,960,0.8610404479986755,0.9461748083000202,1.0767012750296632,True,pilot-2026-08-31T21-05-55Z,backpressure-rep1,mixed,interactive,pre_burst,16.0
960,960,0,0.0,0.08011522749984579,0.09733650950092851,0.10121082828001818,960,1.790079191001496,1.8664971298485398,1.8786105978197885,True,pilot-2026-08-31T21-05-55Z,backpressure-rep1,mixed,interactive,burst_injection,16.0
1920,1920,0,0.0,0.08382281100057298,0.10416252154955145,0.10835658911008067,1920,1.9016586295001616,1.9864198939993003,1.998890727358812,True,pilot-2026-08-31T21-05-55Z,backpressure-rep1,mixed,interactive,recovery,16.0
