count,completed_count,error_count,error_rate,client_ttft_p50_s,client_ttft_p95_s,client_ttft_p99_s,client_ttft_n,client_e2e_p50_s,client_e2e_p95_s,client_e2e_p99_s,slo_met,suite_id,repeat_id,scenario,workload_class,phase,background_offered_rps
960,960,0,0.0,0.040235628499431186,0.050854971749504305,0.07081614207010713,960,0.8696279769992543,1.016724161900492,1.2510475380103525,True,priority-2026-08-31T16-24-57Z,priority-mixed-rep1,mixed,interactive,pre_burst,16.0
960,960,0,0.0,0.31763837650032656,0.8265172047020314,0.8549934830191706,960,3.099151352998888,3.5848774335507185,3.6070015980588868,True,priority-2026-08-31T16-24-57Z,priority-mixed-rep1,mixed,interactive,burst_injection,16.0
1920,1920,0,0.0,0.12487053549921256,0.8239604258025792,0.9457042729888051,1920,2.5254007874991657,3.625297066949497,3.682714047081063,True,priority-2026-08-31T16-24-57Z,priority-mixed-rep1,mixed,interactive,recovery,16.0
960,960,0,0.0,0.04035216800184571,0.0492234372497478,0.07263838355858734,960,0.8746147919991927,0.9870775004979804,1.2597729342603634,True,priority-2026-08-31T16-24-57Z,priority-mixed-rep2,mixed,interactive,pre_burst,16.0
960,960,0,0.0,0.319885830002022,0.8379164878022493,0.864097568931029,960,3.10114649299976,3.5941137737492683,3.6201915319903857,True,priority-2026-08-31T16-24-57Z,priority-mixed-rep2,mixed,interactive,burst_injection,16.0
1920,1920,0,0.0,0.12483557599807682,0.805838173500706,0.9303616669282199,1920,2.536133179497483,3.611916535747696,3.6634418341290074,True,priority-2026-08-31T16-24-57Z,priority-mixed-rep2,mixed,interactive,recovery,16.0
960,960,0,0.0,0.038934996498937835,0.04721641434880439,0.07030505612117849,960,0.8540067029989586,0.9739491877491673,1.2271356255402133,True,priority-2026-08-31T16-24-57Z,priority-mixed-rep3,mixed,interactive,pre_burst,16.0
960,960,0,0.0,0.22297273150070396,0.8363107446995854,0.8645999346211465,960,3.1212864219978655,3.582341396900847,3.602322134631213,True,priority-2026-08-31T16-24-57Z,priority-mixed-rep3,mixed,interactive,burst_injection,16.0
1920,1920,0,0.0,0.12439709149839473,0.8104166411483672,0.9225548704401443,1920,2.5186374049990263,3.604862674599826,3.66215072562165,True,priority-2026-08-31T16-24-57Z,priority-mixed-rep3,mixed,interactive,recovery,16.0
