pair_index,fcfs_repeat_id,priority_repeat_id,fcfs_burst_p95_s,priority_burst_p95_s,absolute_reduction_s,priority_protection_ratio,fcfs_max_waiting,priority_max_waiting,fcfs_background_output_token_tps,priority_background_output_token_tps,fcfs_background_request_rps,priority_background_request_rps,fcfs_last_background_completion_s,priority_last_background_completion_s,fcfs_background_e2e_p95_s,priority_background_e2e_p95_s
1,fcfs-mixed-rep1,priority-mixed-rep1,3.356345438900643,0.8265172047020314,2.529828234198612,0.2462551068559718,242.0,144.0,2202.7143699842704,1581.5473630282636,8.604353007751056,6.177919386829155,42.893224458002805,53.850661787997524,12.81734665689928,26.253459596550965
2,fcfs-mixed-rep2,priority-mixed-rep2,3.320712873047705,0.8379164878022493,2.482796385245456,0.2523303037137387,235.0,146.0,2240.0965168917896,1582.9947867569465,8.750377019108553,6.183573385769322,42.42889742000261,53.813809319999564,12.706075280101322,26.255004917599216
3,fcfs-mixed-rep3,priority-mixed-rep3,3.3279914029530118,0.8363107446995854,2.4916806582534266,0.25129594504285846,238.0,144.0,2249.713619392822,1584.9280179667437,8.78794382575321,6.191125070182593,42.31127434799782,53.76628475899997,12.767509613299444,26.17889404635298
