count,completed_count,error_count,error_rate,client_ttft_p50_s,client_ttft_p95_s,client_ttft_p99_s,client_ttft_n,client_e2e_p50_s,client_e2e_p95_s,client_e2e_p99_s,slo_met,suite_id,repeat_id,scenario,workload_class,phase,background_offered_rps
960,960,0,0.0,0.03919715649863065,0.047526266851673424,0.06774912713979565,960,0.8472852614995645,0.9295732025515462,1.030759427887933,True,native-2026-08-31T21-07-52Z,native-rep1,mixed,interactive,pre_burst,16.0
960,960,0,0.0,0.120388687499144,0.29725837994992615,0.3284732375297608,960,2.7044264704982197,2.8968153390505904,2.9188686126691756,True,native-2026-08-31T21-07-52Z,native-rep1,mixed,interactive,burst_injection,16.0
1920,1920,0,0.0,0.0845783910008322,0.2549680446500133,0.3273059817790998,1920,1.8489701984999556,2.891849034900406,2.918832304940843,True,native-2026-08-31T21-07-52Z,native-rep1,mixed,interactive,recovery,16.0
960,960,0,0.0,0.038431702998423134,0.04715377614993485,0.09646789592894449,960,0.8421974789998785,0.9263872640012777,1.0382913428600293,True,native-2026-08-31T21-07-52Z,native-rep2,mixed,interactive,pre_burst,16.0
960,960,0,0.0,0.12133754800197494,0.31161761520143044,0.33664796603065045,960,2.702470991500377,2.9062078738505077,2.9328697888595343,True,native-2026-08-31T21-07-52Z,native-rep2,mixed,interactive,burst_injection,16.0
1920,1920,0,0.0,0.08502145300008124,0.2112919713010342,0.25672508140836725,1920,1.871572231499158,2.882110195848509,2.9412497661685117,True,native-2026-08-31T21-07-52Z,native-rep2,mixed,interactive,recovery,16.0
960,960,0,0.0,0.03828806850106048,0.04693135189736494,0.06929499009995195,960,0.8420293664985365,0.9329217248972781,1.0330220954694596,True,native-2026-08-31T21-07-52Z,native-rep3,mixed,interactive,pre_burst,16.0
960,960,0,0.0,0.12094086849901942,0.29666517654914054,0.32665850114972267,960,2.7408694109999487,2.880659877998551,2.902615243718974,True,native-2026-08-31T21-07-52Z,native-rep3,mixed,interactive,burst_injection,16.0
1920,1919,1,0.0005208333333333333,0.08471850699788774,0.15892111780194682,0.18500987273910136,1919,1.825681282000005,2.781303442900389,2.8051098169994657,True,native-2026-08-31T21-07-52Z,native-rep3,mixed,interactive,recovery,16.0
