t_s,num_requests_running,num_requests_waiting,kv_cache_usage_perc,repeat_id,mode,background_offered_rps
0.004993089001800399,0.0,0.0,0.0,native-rep1,native,16.0
0.5089934110001195,31.0,0.0,0.013372192696725516,native-rep1,native,16.0
1.0123571080002876,59.0,0.0,0.034630550317161,native-rep1,native,16.0
1.5203393140000117,54.0,0.0,0.03017315275158583,native-rep1,native,16.0
2.026620880002156,53.0,0.0,0.029487399279958804,native-rep1,native,16.0
2.5334447610002826,52.0,0.0,0.028973084176238673,native-rep1,native,16.0
3.040624358000059,51.0,0.0,0.02845876907251843,native-rep1,native,16.0
3.5449496780020127,52.0,0.0,0.028801645808331888,native-rep1,native,16.0
4.054722303000744,50.0,0.0,0.02760157723298473,native-rep1,native,16.0
4.558718359003251,51.0,0.0,0.02845876907251843,native-rep1,native,16.0
5.06334364400027,52.0,0.0,0.028801645808331888,native-rep1,native,16.0
5.571724590001395,53.0,0.0,0.02931596091205213,native-rep1,native,16.0
6.076984672003164,53.0,0.0,0.029487399279958804,native-rep1,native,16.0
6.581875707001018,55.0,0.0,0.030687467855306072,native-rep1,native,16.0
7.085659543001384,52.0,0.0,0.028973084176238673,native-rep1,native,16.0
7.5902670480027155,53.0,0.0,0.029144522544145346,native-rep1,native,16.0
8.094816703000106,53.0,0.0,0.029830276015772372,native-rep1,native,16.0
8.600109527000313,53.0,0.0,0.030001714383679046,native-rep1,native,16.0
9.10420741100097,52.0,0.0,0.029658837647865588,native-rep1,native,16.0
9.610772518000886,52.0,0.0,0.028973084176238673,native-rep1,native,16.0
10.118007120003313,52.0,0.0,0.029830276015772372,native-rep1,native,16.0
10.622962599001767,52.0,0.0,0.028630207440425215,native-rep1,native,16.0
11.13066723400334,52.0,0.0,0.02931596091205213,native-rep1,native,16.0
11.635397840000223,51.0,0.0,0.028287330704611646,native-rep1,native,16.0
12.14027698800055,53.0,0.0,0.029487399279958804,native-rep1,native,16.0
12.646964874002151,53.0,0.0,0.029658837647865588,native-rep1,native,16.0
13.151043888999993,54.0,0.0,0.030001714383679046,native-rep1,native,16.0
13.654736329001025,53.0,0.0,0.02931596091205213,native-rep1,native,16.0
14.159431585001585,54.0,0.0,0.029830276015772372,native-rep1,native,16.0
14.663770453000325,56.0,0.0,0.03188753643065323,native-rep1,native,16.0
15.167341076001321,60.0,0.0,0.05126007200411453,native-rep1,native,16.0
15.67146657000194,72.0,0.0,0.09617692439567971,native-rep1,native,16.0
16.17637845000354,89.0,0.0,0.12703583061889245,native-rep1,native,16.0
16.68606880000152,96.0,0.0,0.13646494085376304,native-rep1,native,16.0
17.19250423199992,107.0,0.0,0.14675124292816732,native-rep1,native,16.0
17.70252310700016,122.0,0.0,0.16166638093605346,native-rep1,native,16.0
18.209294346001116,140.0,0.0,0.17589576547231267,native-rep1,native,16.0
18.72042098700331,161.0,0.0,0.19389679410252014,native-rep1,native,16.0
19.226984883000114,179.0,0.0,0.21155494599691416,native-rep1,native,16.0
19.730982425000548,197.0,0.0,0.22989885136293498,native-rep1,native,16.0
20.239062873002695,213.0,0.0,0.24789987999314245,native-rep1,native,16.0
20.749516011001106,229.0,0.0,0.2660723469912566,native-rep1,native,16.0
21.260708650002925,244.0,0.0,0.27927310132007543,native-rep1,native,16.0
21.774434258000838,254.0,2.0,0.28853077318703924,native-rep1,native,16.0
22.28891795600066,254.0,18.0,0.29607406137493575,native-rep1,native,16.0
22.80620613600331,254.0,29.0,0.30190296588376475,native-rep1,native,16.0
23.315018453002267,254.0,39.0,0.30601748671352647,native-rep1,native,16.0
23.822268620002433,254.0,45.0,0.3075604320246871,native-rep1,native,16.0
24.326480626001285,254.0,49.0,0.3099605691753814,native-rep1,native,16.0
24.831425283002318,254.0,58.0,0.3151037202125836,native-rep1,native,16.0
25.35141861000011,254.0,65.0,0.3159609120521173,native-rep1,native,16.0
25.86692069900164,252.0,71.0,0.31784673409909137,native-rep1,native,16.0
26.389956467002776,254.0,73.0,0.3211040630893194,native-rep1,native,16.0
26.91572254700077,252.0,72.0,0.3159609120521173,native-rep1,native,16.0
27.419952270000067,253.0,75.0,0.31561803531630384,native-rep1,native,16.0
27.9271798890004,253.0,78.0,0.3123607063260758,native-rep1,native,16.0
28.437039871001616,253.0,77.0,0.3055031716098062,native-rep1,native,16.0
28.941526239002997,253.0,77.0,0.3015600891479513,native-rep1,native,16.0
29.46626405400093,252.0,81.0,0.29435967769586835,native-rep1,native,16.0
29.9726649180011,253.0,83.0,0.2895594033944797,native-rep1,native,16.0
30.489171162000275,253.0,77.0,0.28235899194239666,native-rep1,native,16.0
30.994000125003367,252.0,70.0,0.2736156351791531,native-rep1,native,16.0
31.5137473270006,252.0,62.0,0.26384364820846906,native-rep1,native,16.0
32.04055405100007,252.0,53.0,0.2506428938796502,native-rep1,native,16.0
32.55037477800215,252.0,50.0,0.25544316818103896,native-rep1,native,16.0
33.059921664000285,252.0,50.0,0.268472484141951,native-rep1,native,16.0
33.563787973002036,254.0,48.0,0.28013029315960913,native-rep1,native,16.0
34.068447678000666,253.0,49.0,0.2904165952340134,native-rep1,native,16.0
34.57291406300283,253.0,51.0,0.30121721241213784,native-rep1,native,16.0
35.07758003500203,253.0,52.0,0.313560774901423,native-rep1,native,16.0
35.58152509499996,254.0,54.0,0.32487570718326764,native-rep1,native,16.0
36.09383306300151,254.0,55.0,0.3355048859934854,native-rep1,native,16.0
36.611432285000774,253.0,59.0,0.3469912566432367,native-rep1,native,16.0
37.12861022100333,254.0,55.0,0.34339105091719524,native-rep1,native,16.0
37.63265540600332,253.0,47.0,0.3283044745414023,native-rep1,native,16.0
38.15848156500215,251.0,45.0,0.3274472827018686,native-rep1,native,16.0
38.681833766000636,253.0,37.0,0.32316132350420024,native-rep1,native,16.0
39.197619525002665,254.0,28.0,0.3116749528544488,native-rep1,native,16.0
39.720491536001646,251.0,17.0,0.30104577404423105,native-rep1,native,16.0
40.22796662700057,252.0,2.0,0.29195954054517403,native-rep1,native,16.0
40.732405349001056,247.0,0.0,0.28338762214983715,native-rep1,native,16.0
41.23749747600232,237.0,0.0,0.27241556660380595,native-rep1,native,16.0
41.753477363003185,224.0,0.0,0.25647179838847933,native-rep1,native,16.0
42.26050872700216,205.0,0.0,0.23435624892851015,native-rep1,native,16.0
42.764368503001606,187.0,0.0,0.2178981656094634,native-rep1,native,16.0
43.27905097300027,174.0,0.0,0.21858391908109032,native-rep1,native,16.0
43.78892516000269,166.0,0.0,0.21806960397737019,native-rep1,native,16.0
44.297569376001775,163.0,0.0,0.2247557003257329,native-rep1,native,16.0
44.805707785002596,163.0,0.0,0.23264186524944286,native-rep1,native,16.0
45.31328085300265,162.0,0.0,0.24172809874849988,native-rep1,native,16.0
45.8193674000031,161.0,0.0,0.2499571404080233,native-rep1,native,16.0
46.33009723700161,159.0,0.0,0.25218583919081095,native-rep1,native,16.0
46.83438599800138,153.0,0.0,0.2406994685410595,native-rep1,native,16.0
47.34177592500055,135.0,0.0,0.19543973941368076,native-rep1,native,16.0
47.8518412960002,90.0,0.0,0.05331733241899539,native-rep1,native,16.0
48.35637672100347,58.0,0.0,0.03308760500600039,native-rep1,native,16.0
48.86765393400128,54.0,0.0,0.030344591119492503,native-rep1,native,16.0
49.37174530800257,53.0,0.0,0.02931596091205213,native-rep1,native,16.0
49.87782004900146,52.0,0.0,0.028630207440425215,native-rep1,native,16.0
50.385225094003545,52.0,0.0,0.02931596091205213,native-rep1,native,16.0
50.88912781700128,53.0,0.0,0.029144522544145346,native-rep1,native,16.0
51.39544811000087,55.0,0.0,0.030344591119492503,native-rep1,native,16.0
51.9005094460008,55.0,0.0,0.030858906223212745,native-rep1,native,16.0
52.40518778600017,53.0,0.0,0.029830276015772372,native-rep1,native,16.0
52.91437175000101,52.0,0.0,0.02931596091205213,native-rep1,native,16.0
53.419120145001216,52.0,0.0,0.02931596091205213,native-rep1,native,16.0
53.92272036000213,52.0,0.0,0.028801645808331888,native-rep1,native,16.0
54.428029131002404,52.0,0.0,0.02931596091205213,native-rep1,native,16.0
