suite_id,repeat_id,scenario,background_offered_rps,valid_offered_load,invalid_reason,interactive_actual_dispatch_rps,interactive_median_dispatch_lag_s,interactive_peak_inflight,interactive_client_limited,background_actual_dispatch_rps,background_median_dispatch_lag_s,background_peak_inflight,background_client_limited,pooltimeout_count,aborted,abort_reason,interactive_p95_pre_s,interactive_p95_burst_s,interactive_p95_recovery_s,interactive_p50_pre_s,interactive_p50_burst_s,interactive_p50_recovery_s,max_waiting_requests,max_waiting_burst,max_running_requests,max_kv_cache_usage_perc,max_gpu_util_pct,max_vram_mib,last_background_completion_s,background_completed_count,background_offered_count,background_output_token_goodput_tps,background_request_goodput_rps,background_prompt_tokens_p50,background_prompt_tokens_min,background_prompt_tokens_max,background_output_tokens_sum,sustained_burst_queue,slo_met_before_burst,slo_met_during_burst,slo_recovered_afterward,interactive_status_counts,background_status_counts,configured_interactive_connections,configured_background_connections,configured_interactive_max_inflight,configured_background_max_inflight,scheduler_policy,admission_gated,slo_met_in_30_60_window,interactive_p99_pre_s,interactive_p99_burst_s,interactive_p99_recovery_s,post_background_count,post_background_ttft_p50_s,post_background_ttft_p95_s,post_background_ttft_p99_s,post_background_slo_met,waiting_p50,waiting_p95,background_admitted_count,background_total_e2e_p50_s,background_total_e2e_p95_s,background_total_e2e_p99_s,background_e2e_p50_s,background_e2e_p95_s,background_e2e_p99_s,admission_delay_p50_s,admission_delay_p95_s,admission_delay_p99_s,max_local_pending_depth,background_limit_min,background_limit_median,background_limit_max,increase_count,decrease_count,hold_count,sample_count,background_actual_ingress_rps,background_median_ingress_lag_s
backpressure-2026-08-31T21-11-34Z,backpressure-rep1,mixed,16.0,True,,64.00000989164386,0.0008819414979370777,141,False,7.0668311356511,9.070929818999502,56,True,0,False,,0.053509704501630034,0.10351846184912575,0.11246355420153122,0.042037928502395516,0.08523676400182012,0.09114165349819814,0.0,0.0,190.0,0.25904337390708043,100.0,15688.0,55.90368666299764,240,240,1502.0650951636578,5.867441777983038,928.0,924,933,61440,False,True,True,True,{'length': 3840},{'length': 240},2560,640,2048,512,priority,True,True,0.06776176196057326,0.10808421932935744,0.11701033532921427,262,0.042241327499141335,0.05141588700262219,0.05273702879036136,True,0.0,0.0,240,17.01137928749813,26.311637874547706,26.374563358437662,17.01137928749813,26.311637874547706,26.374563358437662,9.068401934000576,18.792437254200014,18.887246331029054,137,32,47.0,62,30,0,90,120,16.00148336723243,0.0008880109999154229
backpressure-2026-08-31T21-11-34Z,backpressure-rep2,mixed,16.0,True,,63.998046587705254,0.0008969720001914538,139,False,7.100568264676001,9.036759382001037,56,True,0,False,,0.04975632250097987,0.10316116705016612,0.11171496785191266,0.040853235999747994,0.08486378350062296,0.09054799549812742,0.0,0.0,188.0,0.2515000857191839,100.0,15694.0,55.69524845900014,240,240,1509.7585670695655,5.89749440261549,928.0,924,933,61440,False,True,True,True,{'length': 3840},{'length': 240},2560,640,2048,512,priority,True,True,0.06389722778058016,0.10634419554982741,0.11541597002986236,275,0.04314739799883682,0.05177180549871992,0.05361102772090815,True,0.0,0.0,240,17.008774428000834,26.07516027750171,26.148770530829896,17.008774428000834,26.07516027750171,26.148770530829896,9.034316088000196,18.63906511834939,18.744013220160923,137,32,47.0,62,30,0,90,120,15.99930824186042,0.0008593170005042339
backpressure-2026-08-31T21-11-34Z,backpressure-rep3,mixed,16.0,True,,63.99841171966162,0.0008344219986611279,131,False,7.2743983624608894,8.667076642999746,55,True,0,False,,0.04965676090196211,0.10222767429768283,0.10425001315143163,0.04126740749961755,0.08347503900040465,0.08377425050093734,0.0,0.0,179.0,0.2473855648894222,100.0,15732.0,54.114966248998826,240,240,1570.7542634418762,6.135758841569829,928.0,924,933,61440,False,True,True,True,{'length': 3840},{'length': 240},2560,640,2048,512,priority,True,True,0.05730282179887575,0.10451895572943613,0.10825453848170581,376,0.04023869849879702,0.04959144224994816,0.0612182782497257,True,0.0,0.0,240,16.028496474498752,24.2837016729005,24.355766522799094,16.028496474498752,24.2837016729005,24.355766522799094,8.666145652001433,17.157441561599807,17.336035086279008,133,32,47.0,62,30,0,90,120,15.999870568945218,0.0008257084991782904
