count,completed_count,error_count,error_rate,client_ttft_p50_s,client_ttft_p95_s,client_ttft_p99_s,client_ttft_n,client_e2e_p50_s,client_e2e_p95_s,client_e2e_p99_s,slo_met,suite_id,repeat_id,scenario,workload_class,phase,background_offered_rps
960,960,0,0.0,0.042037928502395516,0.053509704501630034,0.06776176196057326,960,0.9092236310007138,0.9918612923986074,1.1478319049284256,True,backpressure-2026-08-31T21-11-34Z,backpressure-rep1,mixed,interactive,pre_burst,16.0
960,960,0,0.0,0.08523676400182012,0.10351846184912575,0.10808421932935744,960,1.9114644174987916,1.9856853459485138,1.9964357669599122,True,backpressure-2026-08-31T21-11-34Z,backpressure-rep1,mixed,interactive,burst_injection,16.0
1920,1920,0,0.0,0.09114165349819814,0.11246355420153122,0.11701033532921427,1920,2.0596557805001794,2.1804113574489747,2.198172489078861,True,backpressure-2026-08-31T21-11-34Z,backpressure-rep1,mixed,interactive,recovery,16.0
960,960,0,0.0,0.040853235999747994,0.04975632250097987,0.06389722778058016,960,0.8895383440012665,0.9309418078002636,0.951062703589887,True,backpressure-2026-08-31T21-11-34Z,backpressure-rep2,mixed,interactive,pre_burst,16.0
960,960,0,0.0,0.08486378350062296,0.10316116705016612,0.10634419554982741,960,1.8958374689991615,2.0016930241026785,2.011550968239535,True,backpressure-2026-08-31T21-11-34Z,backpressure-rep2,mixed,interactive,burst_injection,16.0
1920,1920,0,0.0,0.09054799549812742,0.11171496785191266,0.11541597002986236,1920,2.0336398349991214,2.1422273075506384,2.154596268410387,True,backpressure-2026-08-31T21-11-34Z,backpressure-rep2,mixed,interactive,recovery,16.0
960,960,0,0.0,0.04126740749961755,0.04965676090196211,0.05730282179887575,960,0.903647508001086,0.9385549033979259,0.9621925492215812,True,backpressure-2026-08-31T21-11-34Z,backpressure-rep3,mixed,interactive,pre_burst,16.0
960,960,0,0.0,0.08347503900040465,0.10222767429768283,0.10451895572943613,960,1.8684363894990383,1.9300331142505456,1.9415679390108198,True,backpressure-2026-08-31T21-11-34Z,backpressure-rep3,mixed,interactive,burst_injection,16.0
1920,1920,0,0.0,0.08377425050093734,0.10425001315143163,0.10825453848170581,1920,1.8863435940002091,2.0162691172499763,2.031802231629481,True,backpressure-2026-08-31T21-11-34Z,backpressure-rep3,mixed,interactive,recovery,16.0
