t_s,num_requests_running,num_requests_waiting,kv_cache_usage_perc,repeat_id,offered_rps
0.00491287399927387,0.0,0.0,0.0,final-rps8-rep1,8.0
0.5116689320002479,4.0,0.0,0.002057260414880857,final-rps8-rep1,8.0
1.0175340329988103,8.0,0.0,0.005828904508829114,final-rps8-rep1,8.0
1.5219370129998424,8.0,0.0,0.005143151037202087,final-rps8-rep1,8.0
2.027934096999161,8.0,0.0,0.005143151037202087,final-rps8-rep1,8.0
2.533071547999498,8.0,0.0,0.005143151037202087,final-rps8-rep1,8.0
3.0375175079989276,9.0,0.0,0.006171781244642571,final-rps8-rep1,8.0
3.542987146000087,8.0,0.0,0.004971712669295414,final-rps8-rep1,8.0
4.049434048998592,8.0,0.0,0.004971712669295414,final-rps8-rep1,8.0
4.555888020999191,8.0,0.0,0.004971712669295414,final-rps8-rep1,8.0
5.060582112999327,8.0,0.0,0.005143151037202087,final-rps8-rep1,8.0
5.564818875998753,8.0,0.0,0.005143151037202087,final-rps8-rep1,8.0
6.069128654999076,8.0,0.0,0.005314589405108872,final-rps8-rep1,8.0
6.57325641999887,7.0,0.0,0.004628835933481956,final-rps8-rep1,8.0
7.077990912999667,7.0,0.0,0.004457397565575172,final-rps8-rep1,8.0
7.5816738919984346,7.0,0.0,0.0042859591976683875,final-rps8-rep1,8.0
8.086862729998757,7.0,0.0,0.004457397565575172,final-rps8-rep1,8.0
8.591490838998652,7.0,0.0,0.004628835933481956,final-rps8-rep1,8.0
9.095654516999275,7.0,0.0,0.0048002743013886295,final-rps8-rep1,8.0
9.602086749999216,7.0,0.0,0.0048002743013886295,final-rps8-rep1,8.0
10.106556605998776,7.0,0.0,0.004971712669295414,final-rps8-rep1,8.0
10.610631327999727,7.0,0.0,0.0048002743013886295,final-rps8-rep1,8.0
11.115180643999338,7.0,0.0,0.004628835933481956,final-rps8-rep1,8.0
11.61914594100017,7.0,0.0,0.004628835933481956,final-rps8-rep1,8.0
12.124420549998831,7.0,0.0,0.004971712669295414,final-rps8-rep1,8.0
12.630248596999081,7.0,0.0,0.0048002743013886295,final-rps8-rep1,8.0
13.13447088799876,7.0,0.0,0.005143151037202087,final-rps8-rep1,8.0
13.639529037998727,7.0,0.0,0.004971712669295414,final-rps8-rep1,8.0
14.144553987998734,7.0,0.0,0.004971712669295414,final-rps8-rep1,8.0
14.649557052000091,7.0,0.0,0.0048002743013886295,final-rps8-rep1,8.0
15.153587886999958,7.0,0.0,0.004971712669295414,final-rps8-rep1,8.0
15.658801248999225,7.0,0.0,0.004114520829761714,final-rps8-rep1,8.0
16.16281257099945,7.0,0.0,0.004114520829761714,final-rps8-rep1,8.0
16.667228581998643,8.0,0.0,0.004971712669295414,final-rps8-rep1,8.0
17.174157034998643,7.0,0.0,0.004457397565575172,final-rps8-rep1,8.0
17.67874576399845,7.0,0.0,0.004457397565575172,final-rps8-rep1,8.0
18.184283408998454,7.0,0.0,0.004114520829761714,final-rps8-rep1,8.0
18.68928798199886,7.0,0.0,0.0042859591976683875,final-rps8-rep1,8.0
19.194028619000164,7.0,0.0,0.004628835933481956,final-rps8-rep1,8.0
19.69819534099952,7.0,0.0,0.0042859591976683875,final-rps8-rep1,8.0
20.203065659999993,7.0,0.0,0.004457397565575172,final-rps8-rep1,8.0
20.70800182199855,7.0,0.0,0.0048002743013886295,final-rps8-rep1,8.0
21.21209446699868,7.0,0.0,0.004628835933481956,final-rps8-rep1,8.0
21.71701844999916,7.0,0.0,0.004628835933481956,final-rps8-rep1,8.0
22.22127108299901,7.0,0.0,0.0042859591976683875,final-rps8-rep1,8.0
22.725921747998655,7.0,0.0,0.0048002743013886295,final-rps8-rep1,8.0
23.230460867998772,7.0,0.0,0.0048002743013886295,final-rps8-rep1,8.0
23.734730911999577,7.0,0.0,0.004457397565575172,final-rps8-rep1,8.0
24.239136621999933,7.0,0.0,0.004457397565575172,final-rps8-rep1,8.0
24.744262344000163,7.0,0.0,0.0048002743013886295,final-rps8-rep1,8.0
25.248508310000034,7.0,0.0,0.004971712669295414,final-rps8-rep1,8.0
25.753325540999867,6.0,0.0,0.0037716440939482565,final-rps8-rep1,8.0
26.25763289599854,6.0,0.0,0.004114520829761714,final-rps8-rep1,8.0
26.7622813199996,7.0,0.0,0.004971712669295414,final-rps8-rep1,8.0
27.267681755998638,7.0,0.0,0.0048002743013886295,final-rps8-rep1,8.0
27.772676949000015,6.0,0.0,0.004114520829761714,final-rps8-rep1,8.0
28.27726319700014,7.0,0.0,0.004628835933481956,final-rps8-rep1,8.0
28.78204092699889,7.0,0.0,0.004114520829761714,final-rps8-rep1,8.0
29.28811220999887,7.0,0.0,0.004457397565575172,final-rps8-rep1,8.0
29.79203990499991,7.0,0.0,0.0042859591976683875,final-rps8-rep1,8.0
30.29578266899989,7.0,0.0,0.004457397565575172,final-rps8-rep1,8.0
30.799463815999843,7.0,0.0,0.0042859591976683875,final-rps8-rep1,8.0
31.30410387699885,7.0,0.0,0.004457397565575172,final-rps8-rep1,8.0
31.808640919998652,7.0,0.0,0.004457397565575172,final-rps8-rep1,8.0
32.31375139800002,8.0,0.0,0.005314589405108872,final-rps8-rep1,8.0
32.819046107999384,8.0,0.0,0.005314589405108872,final-rps8-rep1,8.0
33.32341399699908,8.0,0.0,0.005143151037202087,final-rps8-rep1,8.0
33.827762787999745,8.0,0.0,0.005314589405108872,final-rps8-rep1,8.0
34.332218820998605,8.0,0.0,0.005143151037202087,final-rps8-rep1,8.0
34.83681776099911,7.0,0.0,0.004114520829761714,final-rps8-rep1,8.0
35.34192839999923,7.0,0.0,0.004628835933481956,final-rps8-rep1,8.0
35.84676776099877,7.0,0.0,0.004628835933481956,final-rps8-rep1,8.0
36.351041533998796,7.0,0.0,0.004457397565575172,final-rps8-rep1,8.0
36.85611525599961,7.0,0.0,0.004628835933481956,final-rps8-rep1,8.0
37.360985044999325,7.0,0.0,0.004971712669295414,final-rps8-rep1,8.0
37.864723929998945,7.0,0.0,0.0048002743013886295,final-rps8-rep1,8.0
38.36974574599844,6.0,0.0,0.00394308246185493,final-rps8-rep1,8.0
38.87520554799994,6.0,0.0,0.00394308246185493,final-rps8-rep1,8.0
39.38081266599875,6.0,0.0,0.004114520829761714,final-rps8-rep1,8.0
39.884421259999726,6.0,0.0,0.00394308246185493,final-rps8-rep1,8.0
40.38807094799995,6.0,0.0,0.004114520829761714,final-rps8-rep1,8.0
40.892550563999976,6.0,0.0,0.004114520829761714,final-rps8-rep1,8.0
41.397360438999385,6.0,0.0,0.0037716440939482565,final-rps8-rep1,8.0
41.90216169099949,7.0,0.0,0.0048002743013886295,final-rps8-rep1,8.0
42.4061031199999,7.0,0.0,0.004457397565575172,final-rps8-rep1,8.0
42.9110643669992,7.0,0.0,0.004457397565575172,final-rps8-rep1,8.0
43.4158855959995,7.0,0.0,0.0042859591976683875,final-rps8-rep1,8.0
43.92038169299849,7.0,0.0,0.004457397565575172,final-rps8-rep1,8.0
44.42623959999946,7.0,0.0,0.0042859591976683875,final-rps8-rep1,8.0
44.93127187400023,7.0,0.0,0.004457397565575172,final-rps8-rep1,8.0
