count,completed_count,error_count,error_rate,client_ttft_p50_s,client_ttft_p95_s,client_ttft_p99_s,client_ttft_n,client_e2e_p50_s,client_e2e_p95_s,client_e2e_p99_s,slo_met,suite_id,repeat_id,scenario,workload_class,phase,background_offered_rps
960,960,0,0.0,0.03938570999980584,0.1991923547998338,0.720319507569811,960,0.8669572774997505,1.5825344962000598,1.877854546759599,True,pilot-2026-08-31T13-03-48Z,pilot-bg4-rep1,mixed,interactive,pre_burst,4.0
960,960,0,0.0,0.03686544500033051,0.04579137844939396,0.05390367548020548,960,0.8048235779997412,0.8364437175494913,0.8442404450796858,True,pilot-2026-08-31T13-03-48Z,pilot-bg4-rep1,mixed,interactive,burst_injection,4.0
1920,1920,0,0.0,0.03534629899968422,0.04297170980025839,0.04688027820039677,1920,0.7825115710002137,0.8276143614994907,0.8577914852200319,True,pilot-2026-08-31T13-03-48Z,pilot-bg4-rep1,mixed,interactive,recovery,4.0
960,960,0,0.0,0.03555228849972991,0.045656911300329735,0.10003416101989371,960,0.7833681984993746,0.8373983818996293,0.9690251737601283,True,pilot-2026-08-31T13-03-48Z,pilot-bg8-rep1,mixed,interactive,pre_burst,8.0
960,960,0,0.0,0.04546186149991627,0.055983174149423574,0.05830488959986723,960,1.0336381960000836,1.06850076145015,1.076062039810231,True,pilot-2026-08-31T13-03-48Z,pilot-bg8-rep1,mixed,interactive,burst_injection,8.0
1920,1920,0,0.0,0.0349319395004386,0.043078878699725466,0.04907609294998109,1920,0.7733715095000662,0.8134599880502265,0.9488062533002084,True,pilot-2026-08-31T13-03-48Z,pilot-bg8-rep1,mixed,interactive,recovery,8.0
960,960,0,0.0,0.04117865950001942,0.052590163249806206,0.07934891542947284,960,0.8950466769997547,0.9963702999001726,1.0150649639798757,True,pilot-2026-08-31T13-03-48Z,pilot-bg16-rep1,mixed,interactive,pre_burst,16.0
960,960,0,0.0,0.16629783000007592,3.467105299950208,3.682045087350152,960,2.827888066000014,6.144112114449762,6.283355421519663,False,pilot-2026-08-31T13-03-48Z,pilot-bg16-rep1,mixed,interactive,burst_injection,16.0
1920,1910,10,0.005208333333333333,2.648282192500119,5.637754165049773,6.793905880119757,1910,4.152686847000041,6.777659889800361,8.22859845955987,False,pilot-2026-08-31T13-03-48Z,pilot-bg16-rep1,mixed,interactive,recovery,16.0
