t_s,num_requests_running,num_requests_waiting,kv_cache_usage_perc,repeat_id,scenario,background_offered_rps
0.0056967049995364505,0.0,0.0,0.0,final-control-rep1,control,
0.5099927259998367,31.0,0.0,0.0135436310646323,final-control-rep1,control,
1.0144893389997378,52.0,0.0,0.028801645808331888,final-control-rep1,control,
1.5184869119993891,52.0,0.0,0.02931596091205213,final-control-rep1,control,
2.023466469999221,51.0,0.0,0.02845876907251843,final-control-rep1,control,
2.5274165979999452,52.0,0.0,0.028801645808331888,final-control-rep1,control,
3.0340357839995704,52.0,0.0,0.029144522544145346,final-control-rep1,control,
3.540050037999208,51.0,0.0,0.028630207440425215,final-control-rep1,control,
4.049122640999485,52.0,0.0,0.028801645808331888,final-control-rep1,control,
4.5556610659996295,53.0,0.0,0.029487399279958804,final-control-rep1,control,
5.06041771999935,53.0,0.0,0.029487399279958804,final-control-rep1,control,
5.56532091400004,53.0,0.0,0.02931596091205213,final-control-rep1,control,
6.071105625999735,53.0,0.0,0.029658837647865588,final-control-rep1,control,
6.575780438000038,53.0,0.0,0.029830276015772372,final-control-rep1,control,
7.082059207999919,53.0,0.0,0.028801645808331888,final-control-rep1,control,
7.589095297999847,53.0,0.0,0.029658837647865588,final-control-rep1,control,
8.093752295999366,52.0,0.0,0.029144522544145346,final-control-rep1,control,
8.606875518999914,52.0,0.0,0.029144522544145346,final-control-rep1,control,
9.111650953999742,52.0,0.0,0.028973084176238673,final-control-rep1,control,
9.615465144999689,52.0,0.0,0.02845876907251843,final-control-rep1,control,
10.12381692999952,53.0,0.0,0.029830276015772372,final-control-rep1,control,
10.631940992999262,52.0,0.0,0.02931596091205213,final-control-rep1,control,
11.136440219999713,51.0,0.0,0.02845876907251843,final-control-rep1,control,
11.641949054999714,52.0,0.0,0.02845876907251843,final-control-rep1,control,
12.148642027999813,53.0,0.0,0.029144522544145346,final-control-rep1,control,
12.65299520499957,52.0,0.0,0.02931596091205213,final-control-rep1,control,
13.159555104999527,53.0,0.0,0.029830276015772372,final-control-rep1,control,
13.663068348999332,53.0,0.0,0.029487399279958804,final-control-rep1,control,
14.166823627999293,53.0,0.0,0.029830276015772372,final-control-rep1,control,
14.672866203000012,53.0,0.0,0.029658837647865588,final-control-rep1,control,
15.182105668999611,53.0,0.0,0.029144522544145346,final-control-rep1,control,
15.687351873999432,53.0,0.0,0.029658837647865588,final-control-rep1,control,
16.195515119999982,51.0,0.0,0.028630207440425215,final-control-rep1,control,
16.700102629999492,53.0,0.0,0.02931596091205213,final-control-rep1,control,
17.2048409909994,53.0,0.0,0.029658837647865588,final-control-rep1,control,
17.71227305499997,53.0,0.0,0.029487399279958804,final-control-rep1,control,
18.217496839999512,53.0,0.0,0.029658837647865588,final-control-rep1,control,
18.72597407899957,52.0,0.0,0.02931596091205213,final-control-rep1,control,
19.231062277000092,52.0,0.0,0.029144522544145346,final-control-rep1,control,
19.735817023999516,53.0,0.0,0.029144522544145346,final-control-rep1,control,
20.240379641999425,52.0,0.0,0.028801645808331888,final-control-rep1,control,
20.745517327000016,52.0,0.0,0.029144522544145346,final-control-rep1,control,
21.250438518999545,51.0,0.0,0.02845876907251843,final-control-rep1,control,
21.75631722199978,51.0,0.0,0.02845876907251843,final-control-rep1,control,
22.262163482999313,51.0,0.0,0.028287330704611646,final-control-rep1,control,
22.766855129999385,52.0,0.0,0.029144522544145346,final-control-rep1,control,
23.272678984999402,52.0,0.0,0.02931596091205213,final-control-rep1,control,
23.777331704999597,52.0,0.0,0.028973084176238673,final-control-rep1,control,
24.280872962999638,52.0,0.0,0.028973084176238673,final-control-rep1,control,
24.786097106999478,51.0,0.0,0.027773015600891515,final-control-rep1,control,
25.293007653999666,52.0,0.0,0.028801645808331888,final-control-rep1,control,
25.79720888099928,54.0,0.0,0.029658837647865588,final-control-rep1,control,
26.304199939999307,52.0,0.0,0.029487399279958804,final-control-rep1,control,
26.807685660999596,51.0,0.0,0.028630207440425215,final-control-rep1,control,
27.311932519000038,52.0,0.0,0.028973084176238673,final-control-rep1,control,
27.822670776999985,53.0,0.0,0.029144522544145346,final-control-rep1,control,
28.326819145999252,55.0,0.0,0.030687467855306072,final-control-rep1,control,
28.831618487000014,52.0,0.0,0.028973084176238673,final-control-rep1,control,
29.339921467999375,52.0,0.0,0.028801645808331888,final-control-rep1,control,
29.847556529999565,52.0,0.0,0.029144522544145346,final-control-rep1,control,
30.351982948999648,51.0,0.0,0.02845876907251843,final-control-rep1,control,
30.859957042999667,52.0,0.0,0.028630207440425215,final-control-rep1,control,
31.367818071999864,52.0,0.0,0.028973084176238673,final-control-rep1,control,
31.877178221999202,52.0,0.0,0.028630207440425215,final-control-rep1,control,
32.381787745999645,52.0,0.0,0.02931596091205213,final-control-rep1,control,
32.88646329599942,51.0,0.0,0.028801645808331888,final-control-rep1,control,
33.394962071999544,52.0,0.0,0.028801645808331888,final-control-rep1,control,
33.90101305400003,52.0,0.0,0.029144522544145346,final-control-rep1,control,
34.40489041099954,53.0,0.0,0.029658837647865588,final-control-rep1,control,
34.911938928999916,52.0,0.0,0.029144522544145346,final-control-rep1,control,
35.41600621199996,51.0,0.0,0.028630207440425215,final-control-rep1,control,
35.92222014099934,52.0,0.0,0.02845876907251843,final-control-rep1,control,
36.428410998999425,53.0,0.0,0.029487399279958804,final-control-rep1,control,
36.93268424300004,53.0,0.0,0.02931596091205213,final-control-rep1,control,
37.43829471199933,53.0,0.0,0.029487399279958804,final-control-rep1,control,
37.94310863699957,52.0,0.0,0.028973084176238673,final-control-rep1,control,
38.44956147999983,52.0,0.0,0.029144522544145346,final-control-rep1,control,
38.95406479899975,51.0,0.0,0.02794445396879819,final-control-rep1,control,
39.46140990099957,52.0,0.0,0.028801645808331888,final-control-rep1,control,
39.967958448999525,53.0,0.0,0.029658837647865588,final-control-rep1,control,
40.476425302999814,53.0,0.0,0.029487399279958804,final-control-rep1,control,
40.979811866999626,52.0,0.0,0.029487399279958804,final-control-rep1,control,
41.48474553599954,53.0,0.0,0.02931596091205213,final-control-rep1,control,
