offered_rps,actual_dispatch_rps,duration_s,request_count,completed_count,error_count,error_rate,client_limited,client_ttft_p50_s,client_ttft_p95_s,client_ttft_p99_s,client_ttft_n,client_e2e_p50_s,client_e2e_p95_s,client_e2e_p99_s,client_e2e_n,completed_request_throughput_rps,output_token_throughput_tps,backend_queue_time_p50_ms,backend_queue_time_p95_ms,backend_queue_time_n,backend_ttft_p50_ms,backend_ttft_p95_ms,backend_ttft_n,median_dispatch_lag_s,status_counts,finish_reason_counts,suite_id,repeat_id,aborted,abort_reason,max_waiting_requests,typical_waiting_requests,max_kv_cache_usage_perc
136.0,135.77646552507005,30.531749563999256,2720,2715,5,0.001838235294117647,False,0.08706892999998672,11.571319277499514,14.176431560939655,2715,1.490865728999779,12.814809064399741,15.456461578159525,2715,88.92382646821275,5691.124893965616,0.009544999556965195,941.681887800496,2715,42.58557600041968,61.92471430031188,2715,0.006499556911421678,"{'length': 2715, 'stream_error': 5}","{'length': 2715, 'null': 5}",pilot-2026-08-31T01-37-30Z,pilot-rps136-rep1,False,,65.0,0.0,0.1503514486542088
144.0,127.44785978970143,35.37359600000036,2880,2874,6,0.0020833333333333333,True,1.2639260855003158,14.55767825679968,18.91385413418039,2874,2.5169641894999586,16.247540799650597,20.32735226104032,2874,81.24704087195349,5199.810615805023,0.01125250037148362,1031.711091849547,2874,39.186936000078276,63.60986599975149,2874,0.02217966200032606,"{'length': 2874, 'stream_error': 6}","{'length': 2874, 'null': 6}",pilot-2026-08-31T01-37-30Z,pilot-rps144-rep1,False,,328.0,0.0,0.1908109034801989
152.0,150.28003569790866,38.918243696999525,3040,3034,6,0.001973684210526316,True,7.098352906499713,19.47216521519999,23.669942714610027,3034,8.734639917000095,21.03578432204999,25.213157054470088,3034,77.95829697818331,4989.331006603732,0.05153099982635467,2018.152434400052,3034,45.090014999914274,69.25069099997927,3034,0.20318447384170213,"{'length': 3034, 'stream_error': 6}","{'length': 3034, 'null': 6}",pilot-2026-08-31T01-37-30Z,pilot-rps152-rep1,False,,322.0,0.0,0.16646665523744208
160.0,148.6495423782261,40.27697969699966,3200,3189,11,0.0034375,True,9.176114213999426,21.328460432200153,23.65712864707977,3189,10.598190293999323,22.576564180599963,25.29398924476026,3189,79.17674125494462,5067.311440316455,411.18198899948766,1839.8367780006079,3189,46.17916700044589,60.08049200045207,3189,0.33550043600007484,"{'length': 3189, 'stream_error': 11}","{'length': 3189, 'null': 11}",pilot-2026-08-31T01-37-30Z,pilot-rps160-rep1,False,,335.0,0.0,0.18446768386764956
176.0,161.0294782757543,37.32202623300054,2853,2849,4,0.0014020329477742728,True,7.846405789000528,19.930529041999943,22.542919514999884,2849,9.645876738999505,21.390764937599485,23.8939053520402,2849,76.33561967439172,4885.47965916107,0.05285200040816562,2116.6436083998633,2849,44.3766409998716,63.161641000078816,2849,0.31948578436367825,"{'length': 2849, 'stream_error': 4}","{'length': 2849, 'null': 4}",pilot-2026-08-31T01-37-30Z,pilot-rps176-rep1,True,in-flight reached 2048; aborting rather than closing the loop,337.0,0.0,0.15806617521001198
