offered_rps,actual_dispatch_rps,duration_s,request_count,completed_count,error_count,error_rate,client_limited,client_ttft_p50_s,client_ttft_p95_s,client_ttft_p99_s,client_ttft_n,client_e2e_p50_s,client_e2e_p95_s,client_e2e_p99_s,client_e2e_n,completed_request_throughput_rps,output_token_throughput_tps,backend_queue_time_p50_ms,backend_queue_time_p95_ms,backend_queue_time_n,backend_ttft_p50_ms,backend_ttft_p95_ms,backend_ttft_n,median_dispatch_lag_s,status_counts,finish_reason_counts,suite_id,repeat_id,aborted,abort_reason,max_waiting_requests,typical_waiting_requests,max_kv_cache_usage_perc
2.0,2.0001214677870607,20.361835122999764,40,40,0,0.0,False,0.03510993200006851,0.05354008574986435,0.062148896310327474,40,0.8886579740001253,1.1094070577501043,1.1449581970800045,40,1.9644594781546922,125.7254066019003,0.0056050002967822365,0.012988099842914342,40,25.377261999892653,37.54824384982384,40,0.0005736699995395611,{'length': 40},{'length': 40},pilot-2026-08-31T01-19-14Z,pilot-rps2-rep1,False,,0.0,0.0,0.002057260414880857
4.0,3.999826165934668,20.736039458999585,80,80,0,0.0,False,0.03894394300004933,0.05168800819956232,0.05349103838998416,80,0.922374010999647,1.0418206188503518,1.0658946480600753,80,3.85801734985026,246.91311039041665,0.005610500465991208,0.007372599884547526,80,26.54014849986197,33.001910600250994,80,0.0006934889997864957,{'length': 80},{'length': 80},pilot-2026-08-31T01-19-14Z,pilot-rps4-rep1,False,,0.0,0.0,0.003428767358134799
8.0,7.999905170432251,20.83356661000016,160,160,0,0.0,False,0.041426755499742285,0.052779631050361785,0.06433367003037344,160,0.9575286260001121,1.0679061040998477,1.0888503969201793,160,7.679914005852441,491.51449637455624,0.005796499863208737,0.007691100836382236,160,27.69256299961853,37.002116950088734,160,0.0007646555000064836,{'length': 160},{'length': 160},pilot-2026-08-31T01-19-14Z,pilot-rps8-rep1,False,,0.0,0.0,0.005657466140922329
16.0,15.999770133760242,20.81429194299926,320,320,0,0.0,False,0.04075151150027523,0.05220691479985362,0.05875659432955217,320,0.9234321080002701,1.027839841399873,1.0356722595200245,320,15.374051679314016,983.939307476097,0.005712000529456418,0.00875969944900135,320,27.197381500172924,34.95853355043437,320,0.0007055409996610251,{'length': 320},{'length': 320},pilot-2026-08-31T01-19-14Z,pilot-rps16-rep1,False,,0.0,0.0,0.010114863706497501
32.0,31.999129003538425,20.88735166999959,640,640,0,0.0,False,0.042857498500325164,0.05536832075003982,0.06315344173970516,640,0.9376228234996233,1.1240082540996352,1.1771245231499596,640,30.640552718764685,1960.9953740009398,0.0057010001910384744,0.008120599659378057,640,28.385628500018356,36.78064575010467,640,0.0007894535001469194,{'length': 640},{'length': 640},pilot-2026-08-31T01-19-14Z,pilot-rps32-rep1,False,,0.0,0.0,0.021086919252528702
