offered_rps,actual_dispatch_rps,duration_s,request_count,completed_count,error_count,error_rate,client_limited,client_ttft_p50_s,client_ttft_p95_s,client_ttft_p99_s,client_ttft_n,client_e2e_p50_s,client_e2e_p95_s,client_e2e_p99_s,client_e2e_n,completed_request_throughput_rps,output_token_throughput_tps,backend_queue_time_p50_ms,backend_queue_time_p95_ms,backend_queue_time_n,backend_ttft_p50_ms,backend_ttft_p95_ms,backend_ttft_n,median_dispatch_lag_s,status_counts,finish_reason_counts,suite_id,repeat_id,aborted,abort_reason,max_waiting_requests,typical_waiting_requests,max_kv_cache_usage_perc
64.0,64.00047819475913,20.921703342,1280,1280,0,0.0,False,0.04428150950025156,0.05903285330068681,0.14316193820060136,1280,0.9641975815002297,1.2460467469999912,1.3430167099999926,1280,61.18048703187658,3915.551170040101,0.00574649993723142,0.009247300022252599,1280,28.402779500083852,36.97775100044964,1280,0.0008926489999794285,{'length': 1280},{'length': 1280},pilot-2026-08-31T01-31-57Z,pilot-rps64-rep1,False,,0.0,0.0,0.046116920966912445
96.0,95.9975011763428,20.887725771000078,1920,1920,0,0.0,False,0.043943982499968115,0.05426778779965389,0.06721387835023956,1920,0.9314030089999505,0.9645129180497406,0.9794992988694866,1920,91.9200118313346,5882.880757205415,0.005635499746858841,0.009216999842465155,1920,27.52794449997964,31.656405700459793,1920,0.0009033390001604857,{'length': 1920},{'length': 1920},pilot-2026-08-31T01-31-57Z,pilot-rps96-rep1,False,,0.0,0.0,0.04954568832504713
128.0,127.94730202642577,21.00403981599993,2560,2560,0,0.0,False,0.06445030849954492,0.0771701628995288,0.09592986131996424,2560,1.2064761395004098,1.2727808414497304,1.2799612714802788,2560,121.88131532915432,7800.404181065876,0.006880499768158188,0.012379149620755925,2560,36.2909169998602,38.54172945061691,2560,0.0010513655001886946,{'length': 2560},{'length': 2560},pilot-2026-08-31T01-31-57Z,pilot-rps128-rep1,False,,0.0,0.0,0.08417623864220813
160.0,153.70213267535576,12.947245510999892,1130,1130,0,0.0,True,0.08069584750046488,5.535366165999994,6.070325170359685,1130,1.3580631130002985,6.588136139699736,7.139011313589999,1130,87.2772512917871,5585.744082674374,0.007846000244171591,0.023777749765940825,1130,39.64463299962517,45.52621399943746,1130,0.004407376999552071,{'length': 1130},{'length': 1130},pilot-2026-08-31T01-31-57Z,pilot-rps160-rep1,True,in-flight reached 256; aborting rather than closing the loop,0.0,0.0,0.11537802160123434
192.0,190.77992472381106,3.3543283839999276,442,442,0,0.0,True,0.07158677799998259,0.11385388015023633,0.14229231143007376,442,1.1718911429998116,1.2963274890999401,1.3058475066797655,442,131.77004437261726,8433.282839847505,0.0076739997894037515,0.015190600606729273,442,36.87294249994011,61.07976299972506,442,0.0011010556668225036,{'length': 442},{'length': 442},pilot-2026-08-31T01-31-57Z,pilot-rps192-rep1,True,in-flight reached 256; aborting rather than closing the loop,0.0,0.0,0.1200068575347163
