t_s,num_requests_running,num_requests_waiting,kv_cache_usage_perc,repeat_id,offered_rps
0.004829382000025362,0.0,0.0,0.0,smoke-rps2-rep1,2.0
0.5097310869996363,1.0,0.0,0.0006857534716269154,smoke-rps2-rep1,2.0
1.0146747320004579,1.0,0.0,0.0006857534716269154,smoke-rps2-rep1,2.0
1.519820974999675,1.0,0.0,0.0006857534716269154,smoke-rps2-rep1,2.0
2.0244602200000372,2.0,0.0,0.001028630207440373,smoke-rps2-rep1,2.0
2.5287125329996343,1.0,0.0,0.0006857534716269154,smoke-rps2-rep1,2.0
3.0337487460001284,2.0,0.0,0.001028630207440373,smoke-rps2-rep1,2.0
3.5381563560003997,2.0,0.0,0.001028630207440373,smoke-rps2-rep1,2.0
4.044759848000467,2.0,0.0,0.001028630207440373,smoke-rps2-rep1,2.0
4.548820394000359,2.0,0.0,0.001028630207440373,smoke-rps2-rep1,2.0
5.055574725000042,2.0,0.0,0.0012000685753471574,smoke-rps2-rep1,2.0
5.560418525000387,2.0,0.0,0.001028630207440373,smoke-rps2-rep1,2.0
6.06505381199986,2.0,0.0,0.001028630207440373,smoke-rps2-rep1,2.0
6.569965673999832,2.0,0.0,0.001028630207440373,smoke-rps2-rep1,2.0
7.075045462000162,2.0,0.0,0.001028630207440373,smoke-rps2-rep1,2.0
7.578575767000075,2.0,0.0,0.0012000685753471574,smoke-rps2-rep1,2.0
8.082490390999737,1.0,0.0,0.0008571918395336997,smoke-rps2-rep1,2.0
