t_s,num_requests_running,num_requests_waiting,kv_cache_usage_perc,repeat_id,scenario,scheduler_policy,background_offered_rps
26.921889180001017,254.0,101.0,0.33893365335162007,fcfs-mixed-rep1,mixed,fcfs,16.0
27.427684772002976,254.0,114.0,0.34339105091719524,fcfs-mixed-rep1,mixed,fcfs,16.0
27.9319914780026,253.0,127.0,0.3445911194925424,fcfs-mixed-rep1,mixed,fcfs,16.0
28.43788350199975,253.0,141.0,0.3439053660209155,fcfs-mixed-rep1,mixed,fcfs,16.0
28.95706136300214,254.0,156.0,0.34921995542602435,fcfs-mixed-rep1,mixed,fcfs,16.0
29.48114066600101,253.0,173.0,0.35179153094462545,fcfs-mixed-rep1,mixed,fcfs,16.0
30.000565861002542,254.0,187.0,0.35436310646322644,fcfs-mixed-rep1,mixed,fcfs,16.0
30.511044236001908,252.0,195.0,0.35264872278415904,fcfs-mixed-rep1,mixed,fcfs,16.0
31.02600498100219,254.0,198.0,0.35333447625578607,fcfs-mixed-rep1,mixed,fcfs,16.0
31.58580522200282,252.0,205.0,0.35162009257671867,fcfs-mixed-rep1,mixed,fcfs,16.0
32.09066319900012,253.0,212.0,0.35093433910509175,fcfs-mixed-rep1,mixed,fcfs,16.0
32.59900749600274,254.0,217.0,0.3521344076804389,fcfs-mixed-rep1,mixed,fcfs,16.0
33.104517685002065,253.0,223.0,0.34921995542602435,fcfs-mixed-rep1,mixed,fcfs,16.0
33.6105361910013,254.0,226.0,0.3461340648037031,fcfs-mixed-rep1,mixed,fcfs,16.0
34.1195662450009,253.0,228.0,0.3409909137665009,fcfs-mixed-rep1,mixed,fcfs,16.0
34.623440223000216,255.0,233.0,0.34407680438882227,fcfs-mixed-rep1,mixed,fcfs,16.0
35.13725614299983,252.0,238.0,0.3420195439739414,fcfs-mixed-rep1,mixed,fcfs,16.0
35.64190948900068,253.0,242.0,0.3427052974455683,fcfs-mixed-rep1,mixed,fcfs,16.0
36.16624769400005,253.0,242.0,0.3409909137665009,fcfs-mixed-rep1,mixed,fcfs,16.0
36.6858761370022,253.0,234.0,0.33396194068232465,fcfs-mixed-rep1,mixed,fcfs,16.0
37.19760649499949,251.0,231.0,0.3300188582204697,fcfs-mixed-rep1,mixed,fcfs,16.0
37.70167057800063,254.0,224.0,0.32967598148465627,fcfs-mixed-rep1,mixed,fcfs,16.0
38.21429442600129,252.0,218.0,0.323332761872107,fcfs-mixed-rep1,mixed,fcfs,16.0
38.7182945980021,252.0,207.0,0.31784673409909137,fcfs-mixed-rep1,mixed,fcfs,16.0
39.23420654200163,253.0,183.0,0.30430310303445907,fcfs-mixed-rep1,mixed,fcfs,16.0
39.75526034500217,254.0,166.0,0.30104577404423105,fcfs-mixed-rep1,mixed,fcfs,16.0
40.278049978001945,253.0,144.0,0.29281673238470773,fcfs-mixed-rep1,mixed,fcfs,16.0
40.81288432300062,251.0,116.0,0.27584433396194064,fcfs-mixed-rep1,mixed,fcfs,16.0
41.53469126500204,253.0,53.0,0.24309960569175382,fcfs-mixed-rep1,mixed,fcfs,16.0
45.280645544000436,2.0,0.0,0.0018858220469740727,fcfs-mixed-rep1,mixed,fcfs,16.0
46.803105344999494,6.0,0.0,0.0032573289902280145,fcfs-mixed-rep1,mixed,fcfs,16.0
47.48774036699979,11.0,0.0,0.006171781244642571,fcfs-mixed-rep1,mixed,fcfs,16.0
48.05897398000161,105.0,0.0,0.032573289902280145,fcfs-mixed-rep1,mixed,fcfs,16.0
48.60926321599982,256.0,164.0,0.13663637922166982,fcfs-mixed-rep1,mixed,fcfs,16.0
49.12592710800163,256.0,185.0,0.16938110749185664,fcfs-mixed-rep1,mixed,fcfs,16.0
53.666700892001245,0.0,0.0,0.0,fcfs-mixed-rep1,mixed,fcfs,16.0
55.19402315900152,3.0,0.0,0.0017143836790673994,fcfs-mixed-rep1,mixed,fcfs,16.0
55.736302945002535,143.0,0.0,0.030001714383679046,fcfs-mixed-rep1,mixed,fcfs,16.0
56.30955975899997,256.0,106.0,0.12446425510029147,fcfs-mixed-rep1,mixed,fcfs,16.0
56.840123049001704,249.0,200.0,0.19869706840390877,fcfs-mixed-rep1,mixed,fcfs,16.0
62.1426685860024,,,,fcfs-mixed-rep1,mixed,fcfs,16.0
63.04838806100088,19.0,0.0,0.0118292473855649,fcfs-mixed-rep1,mixed,fcfs,16.0
63.5608086200009,181.0,0.0,0.069261100634322,fcfs-mixed-rep1,mixed,fcfs,16.0
64.06888649100074,172.0,0.0,0.12223555631750382,fcfs-mixed-rep1,mixed,fcfs,16.0
0.005639097002131166,0.0,0.0,0.0,fcfs-mixed-rep2,mixed,fcfs,16.0
0.5108967810010654,31.0,0.0,0.011486370649751443,fcfs-mixed-rep2,mixed,fcfs,16.0
1.0187003950013604,64.0,0.0,0.03668781073204186,fcfs-mixed-rep2,mixed,fcfs,16.0
