count,completed_count,error_count,error_rate,client_ttft_p50_s,client_ttft_p95_s,client_ttft_p99_s,client_ttft_n,client_e2e_p50_s,client_e2e_p95_s,client_e2e_p99_s,slo_met,suite_id,repeat_id,scenario,workload_class,phase,background_offered_rps
960,960,0,0.0,0.04062323049947736,0.055332471850488216,0.0650563985402914,960,0.8828178884996305,1.076024307451371,1.1295855038318405,True,fcfs-2026-08-31T16-07-48Z,fcfs-mixed-rep1,mixed,interactive,pre_burst,16.0
960,960,0,0.0,0.1550705570007267,3.356345438900643,3.6181887054591058,960,2.8274565855008404,6.143002828702265,6.315036643010535,False,fcfs-2026-08-31T16-07-48Z,fcfs-mixed-rep1,mixed,interactive,burst_injection,16.0
1920,1917,3,0.0015625,2.6795088940016285,5.358550137598648,6.792186976721277,1917,4.196190135997313,6.685941850598464,8.280213010477592,False,fcfs-2026-08-31T16-07-48Z,fcfs-mixed-rep1,mixed,interactive,recovery,16.0
960,960,0,0.0,0.04079629049920186,0.051761228048235346,0.08717204486125378,960,0.898793926999133,0.9581488681496919,1.0536451857900828,True,fcfs-2026-08-31T16-07-48Z,fcfs-mixed-rep2,mixed,interactive,pre_burst,16.0
960,960,0,0.0,0.16536262550107494,3.320712873047705,3.565618978229831,960,2.8493109275004826,6.0638358783497095,6.224442684601127,False,fcfs-2026-08-31T16-07-48Z,fcfs-mixed-rep2,mixed,interactive,burst_injection,16.0
1920,1914,6,0.003125,2.6805659649999143,5.487653719049012,6.800255492638421,1914,4.190986145998977,6.747097235852015,8.452954373329687,False,fcfs-2026-08-31T16-07-48Z,fcfs-mixed-rep2,mixed,interactive,recovery,16.0
960,960,0,0.0,0.04047475200059125,0.049497584699383874,0.0683619070390341,960,0.8851255109984777,0.9418044855985499,1.0148932172598142,True,fcfs-2026-08-31T16-07-48Z,fcfs-mixed-rep3,mixed,interactive,pre_burst,16.0
960,960,0,0.0,0.1655930305005313,3.3279914029530118,3.583129004799957,960,2.8422913494996465,6.095958853251977,6.260889855049027,False,fcfs-2026-08-31T16-07-48Z,fcfs-mixed-rep3,mixed,interactive,burst_injection,16.0
1920,1917,3,0.0015625,2.587898760000826,5.623761038600056,6.873472325678158,1917,4.191355298997223,6.842803807200819,8.871693868598227,False,fcfs-2026-08-31T16-07-48Z,fcfs-mixed-rep3,mixed,interactive,recovery,16.0
